Model,item_upc,quantity,Products_price
8254-74,813362024139,28,21.98
SLQ-037,894147000371,35,9
BAOWE17,679359001022,19,14.32
BC-H2OL02,720184881027,23,6.19
BAHC05,679359000964,64,13.62
SE6810-30,716770031914,0,11.75
7750-009,814487024615,22,9.5
7750-01,898788000912,32,9.5
7750-010,814487024592,33,9.5
7750-011,814487024608,6,9.5
7750-02,898788000929,0,9.5
7750-03,898788000936,44,9.5
7750-04,898788000943,12,9.5
SE6810-10,716770031891,2,7.6
SE6810-20,716770031907,5,8.6
SE2394-00,716770012814,32,6.7
SE2396-00,716770019486,54,7.25
SE2396-10,716770019578,37,7.25
HP2749,818631027491,51,2.5
7970-2,5022782333126,62,6
7970-3,5022782333133,29,6.5
7970-5,5022782333164,49,2.25
7970-6,5022782333171,20,3.95
7970-9,5022782333263,31,4.75
WS2297,713079902297,57,8.98
WS90223,713079902235,33,8.79
WS90224,713079902242,27,9.22
INT052F,854397006677,0,1.25
INT049,854397006424,23,9.48
WS5007,713079905007,254,0.52
WS5021,713079905021,19,11.49
WS5045,713079905045,38,16.99
WS6028,713079906028,20,11.99
WS7025,713079907025,38,11.99
SLQ-0968,894147009688,50,9
SKSPNK4PS,071819003285,30,11.7
SLQ-0804,894147000845,20,18
SS100-01,646709100018,53,4.46
SS100-02,646709100025,31,4.46
SS100-04,646709100049,13,4.46
SS100-87,646709100872,18,20.83
SHTOU120BLK,8714273952004,0,9.95
BL00011,853858007024,55,1.505
BL00013,853858007048,95,1.505
PDRD212,603912291360,0,16
PDRD227,603912291629,21,16
PD3984-23,603912340341,11,30
XRAD657,848518012357,19,29.13
IBIC2321-2,847841023214,12,6.65
SS261-09,646709261092,14,5.24
8284-200,760921345757,16,4.49
8284-206,760921345733,8,5.4
8284-43,013189317241,4,5.4
8370-808B,785123869849,11,5.4
SS770-15,646709770150,30,12.49
SS770-16,646709770167,22,13.11
PD2176-23,603912357653,10,41.5
KHE-NV090,825156109830,7,4.5
KHE-NV091,825156109823,21,4.5
KHE-NV092,825156109847,20,3.5
8635-04,704155580164,21,7.54
8635-05,704155580232,73,7.54
8635-02,704155580089,11,7.54
GLAS-56,4890808063200,9,16.5
GLAS-83,4890808063477,10,14.5
KL933,844915091247,6,79.5
KL933R,844915091308,22,84
PD2948-00,603912337365,12,18.5
KL007,844915091582,13,199
9876-06,894757001577,6,25
HP3043,818631030439,12,6
DJ1362-07,782421006754,69,5.27
SHU2311,697309023115,11,14
SEN445,855559009024,17,7.98
SEN446,855559009031,16,7.98
LITBT-503,685634101905,1,6.5
SHU2207,697309022071,10,11.5
SHU2210,697309022101,25,11.5
SHU2201,697309022019,11,11.5
SHU2200,697309022002,15,11.5
SHU2209,697309022095,12,11.5
SHU2214,697309022149,14,11.5
SHU2202,697309022026,24,11.5
7757-081,3760139882812,19,8.58
7757-083,3760139882829,21,8.58
DJ1301-50,782421995119,41,12
7757-76,3760139882409,2,11.78
7757-78,3760139882423,22,11.78
8070-03,067981087116,28,7.94
PD2188-00,603912231670,12,47
SS913-01,646709913014,19,20.59
IBIC2317-2,847841023177,6,6.65
IBIC2318-2,847841023184,18,6.65
IBIC2320-2,847841023207,18,6.65
SHTOU047BLK,8714273309341,14,7.95
DJ1310-02,782421176204,12,10.45
DJ1311-02,782421176600,16,10.45
DJ1312-02,782421177003,13,10.45
DJ2180-02,782421441500,15,11.1
DJ2180-03,782421441609,80,16.7
XRAC701,848518001313,45,15.67
OXAJ1073-CLR,840215111012,15,12
PF-ER-20,854854005243,8,17.9
PF-ER-25,854854005250,0,18.9
KL946,844915091438,20,29.98
PD3607-26,603912133684,9,5.5
PD3807-00,603912149944,16,14
PD4408-00,603912320558,13,7.5
SE2610-10,716770033710,8,8.1
SPF-54,669729200544,1,7.518
DL60115,813324022975,0,10
FSG63953,5060462633944,1,8.5
NT2284-5,782631228458,7,10.8
PD3880-23,603912310399,3,330
PD3987-27,603912340877,15,12
PD3990-27,603912340907,10,12
SHTOU004BLK,8714273074201,18,7.5
SHTOU004RED,8714273074218,23,7.5
SI60000,752875600006,28,40.65
SS694-03,646709694036,35,8.63
SS980-31,646709980313,37,27.38
PD3804-23,603912105100,39,12.5
SHTOU002BLK,8714273074096,28,5.75
SHTOU002RED,8714273074102,12,5.75
PD4419-23,603912320572,6,14.5
PD2185-01,603912307924,13,41.5
PD4424-00,603912320459,6,24.5
PD3609-00,603912323177,12,11
PD4413-23,603912320312,3,9
PD3996-27,603912343137,10,17
PD3741-23,603912312416,16,23.5
PD2128-23,603912184426,15,122.5
PD3988-27,603912340884,0,26
SS100-66,646709100667,50,8.96
PD4435-00,603912326604,10,13.5
PD3977-27,603912340457,22,12
PD3613-00,603912329605,7,11
PD3624-26,603912333879,2,11
PD2198-00,603912247411,27,77.5
PD3805-00,603912105254,21,8
DL0050,813324022289,37,14
PD2177-00,603912252620,16,9
PD3800-23,603912247589,7,7
PD3801-26,603912105018,16,8
PD3879-01,603912304404,13,175
SHTOU001BLK,8714273074034,9,5.95
SHTOU001MET,8714273074065,2,4.95
SHTOU001RED,8714273074041,15,5.95
SHTOU077PUR,8714273950642,9,11.95
HP2957,818631029570,22,2.75
8127-71,609224031571,3,76.45
MY46580,4260152465805,17,22.8
PD2184-00,603912230604,9,15
PK001H,726633973466,5,8
PK003X,726633973657,3,8
PK013H,726633973404,4,8
ZOLO-PP-8B,726633974524,11,7
ZOLO-PP-CP,726633974517,5,7
ZOLO-PP-RE,726633974531,19,7
ZOLO-PP-SC,726633974500,3,7
ZOLO-PP-STS,726633974494,12,7
SS100-34,646709100346,18,5.42
PF-CR-60,852184004332,32,5.9
XRAE801,848518023087,7,36.69
KL921,844915091131,0,14.25
PD3908-23,603912307962,7,7.5
7909-10,646709696078,27,14.58
PD3878-00,603912289794,8,38.5
SS100-89,646709100896,40,7.29
SE2590-00,716770013088,22,7.5
